id,tweet,class,positive_probability,negative_probability,neutral_probability,predicted
429,delta jetblu gari serv fll airport counter realli true blue make feel home even jetblu flight delayedl,positive,3.8308426287099155e-44,2.5379603580005304e-44,3.556189060844037e-45,positive
430,unit unit thank info alreadi knew,neutral,4.534725662696285e-16,2.692092061303497e-16,9.425570597497272e-17,positive
431,american americanair snow ice forecast dfw chang polici reserv hold wed morn leeway,neutral,2.278946721162045e-39,2.497732188312555e-37,1.704289296731634e-36,neutral
432,airway usairway gate supervisor ask superior name respons receiv ceo americanairlin merger,neutral,1.5859727901225708e-39,1.7047428684758986e-39,1.559869882858036e-38,neutral
433,southwest southwestair offer cdn border town incent fli sinc exchang rate hurt customerappreci gaincustom keepem,neutral,7.795987869999451e-26,3.3248250520340894e-25,3.8627770837019076e-25,neutral
434,southwest southwestair impress hour delay flight equip failur compens offer,neutral,2.8720018276230833e-31,5.483804911422666e-29,4.119225228394334e-31,negative
435,delta stahhppp jetblu fleet fleek,neutral,7.136460959358831e-11,1.0101044723443595e-12,7.692329532975881e-10,neutral
436,american americanair understand,neutral,2.3715028463469112e-08,5.326832699003922e-08,3.589726872356896e-08,negative
437,delta jetblu flt delay,neutral,7.7311660393054e-11,6.203724967648275e-11,3.183032910196917e-11,positive
438,virgin america virginamerica best custom servic rep world irmafromdalla take cake,positive,1.2701159778912249e-28,6.291502947725215e-31,9.948675077203103e-32,positive
439,delta jetblu fleet fleek,neutral,7.136460959358831e-11,1.0101044723443595e-12,7.692329532975881e-10,neutral
440,airway usairway still air deic plane miss connect custom servic help hope catch next flight,positive,4.5181306221425533e-38,6.183003454782302e-37,1.4994100812633116e-39,negative
441,airway usairway worst custom servic still provid answer even drove back clt airport rude amp unaccept fail,negative,1.069974298735004e-50,9.560428682298735e-44,1.2184336620275184e-50,negative
442,unit unit flight cancel flight need help reflight book problem,negative,1.2911391307966433e-25,4.995845674664432e-23,4.075950818124316e-24,negative
443,unit unit cours would like hepl kid reason hold past hour,negative,1.489607250775115e-29,1.2438767151549422e-27,1.3704156428341353e-29,negative
444,southwest southwestair thank excel respons time assist set,positive,2.9823830024821116e-21,2.470827867584157e-24,2.332031226224027e-23,positive
445,unit unit wonder flight attend name leah lga den den anchorag,positive,3.0751213747841367e-29,1.3602552040291134e-29,3.886997096038639e-30,positive
446,american americanair hour half land bag final trickl,negative,1.139490239000351e-20,7.972265290441898e-19,6.966410104533931e-21,negative
447,airway usairway pleas peopl hold flight phoenix san jose pull gate schedul depart,neutral,6.567736719364836e-41,2.0744368507502007e-38,2.0599976560342704e-40,negative
448,american americanair thank hire car chicago drive mke mean airport,negative,4.6336711491239806e-32,7.0972447080748266e-31,1.5682059677250522e-30,neutral
449,southwest southwestair right point kid fli often bought four round trip ticket dtw phx,negative,1.3097065621657364e-40,2.6268149327970576e-41,2.001132401220643e-39,neutral
450,southwest southwestair ceo use vega band help connect peopl aviat busi market consumermarket,neutral,4.326533771454376e-38,9.486924647318411e-39,5.637325853599127e-37,neutral
451,american americanair still look speak,neutral,5.4328969799011434e-14,2.904764239572603e-13,3.546573260180333e-14,negative
452,american americanair thank,positive,1.5256668311498464e-06,2.4858552595351637e-07,2.6666542480365513e-07,positive
453,american americanair father love work well panam,positive,3.364322482690828e-16,1.051077262593587e-17,1.0981892428850442e-17,positive
454,delta jetblu nope current sit gate,neutral,2.075554347193043e-18,2.1255094703404593e-18,8.153103095140406e-18,neutral
455,airway usairway idea geek plug server way phx,neutral,2.4589497826996886e-19,2.255473718103485e-18,1.849204108676399e-18,negative
456,unit unit got rebook one question though automat refund check baggag fee flight cancel flightl,negative,1.603931595243771e-44,3.9911634439872985e-40,1.4662939807778254e-42,negative
457,unit unit suntoshi still like unit airlin,positive,7.618172030749211e-14,4.5193949502595174e-13,7.738000728437031e-14,negative
458,american americanair awesom flight morn awesom crew even land earli,positive,3.7640089310841e-27,1.6729219669033516e-29,3.713287702148963e-29,positive
459,unit unit joni great job flight lax thank great flight,positive,1.5853896789302385e-19,2.876883986058209e-23,1.5812957202197317e-22,positive
460,southwest southwestair thank lot send special deal budget get screw best vacat sarcasm get new partner,negative,1.502896426464813e-48,5.745708924989882e-50,2.0297553088998244e-50,positive
461,airway usairway get thru hold hour minut normal call lost,negative,3.3757367700937362e-31,2.0900495751695193e-26,5.890479536257161e-31,negative
462,unit unit pleas follow,neutral,1.7153813023518585e-09,5.342517376782825e-10,6.425071741461585e-09,neutral
463,american americanair dai_presid good luck dfw even,positive,4.71114895933155e-17,3.0656420158979624e-17,1.1303000394606303e-17,positive
464,unit unit educ staff need also turn away first class cabin passeng mileag plus,negative,8.505771001981806e-45,2.7312192522937308e-43,4.0877844497269594e-43,neutral
465,delta jetblu flight savannah,neutral,1.5065862025313087e-10,4.629645498244982e-11,5.862085609612654e-10,neutral
466,airway usairway tri get partner pnr spent hour hold know snow somewher aw,negative,2.65839248630069e-38,4.072204527071802e-36,4.011093984492093e-37,negative
467,unit unit happen flight status map cool,neutral,1.5872845152097532e-16,2.7541864466460625e-15,2.0601604305958324e-15,negative
468,unit unit help get iah sfo earlier tonight,neutral,1.0102686556209795e-21,9.089565587813538e-22,1.3395330522397395e-21,neutral
469,unit unit reflight book problemss last day time unit wait time second kudo excel custom servic,positive,2.3266727360613962e-40,8.422641778929166e-40,1.7356765183702662e-42,negative
470,unit unit land den time stuck wait gate min mayb updat would good idea capt,negative,1.2637657826138121e-45,7.645063507721568e-43,2.3097903292248785e-45,negative
471,southwest southwestair guy rule thank,positive,1.7521047883774332e-08,8.583280562304841e-11,3.379708635304294e-10,positive
472,airway usairway know thank evalu chairman,positive,2.425684569610804e-13,9.676658892779382e-14,7.95743748292562e-14,positive
473,airway usairway vincesview signific number folk connect minut hold would make mani happi,neutral,9.759832554600436e-38,1.9111533725857845e-35,4.480083434986552e-37,negative
474,airway usairway americanair make spirit look like gem air travel handl winter storm well,negative,2.4348620860752936e-37,2.1369914403221267e-38,1.770535572810923e-39,positive
475,unit unit condit bos today everyth appear time want check,neutral,2.9941971280792913e-29,5.099799561590108e-29,7.985139713343574e-29,neutral
476,airway usairway flight delay miss connect flight pleas help altern thank,negative,2.3390872990916228e-28,3.067823212107294e-27,5.471117528407405e-29,negative
477,delta shannonwoodward want keep updat wear amp amp win nice like,neutral,3.4628480902327724e-30,1.256725118859879e-31,4.014454382801077e-31,positive
478,airway usairway amp americanair flight cancel flightl yesterday delay today rob daughter day grandpar thank,neutral,2.299490434095231e-34,9.796442029151392e-33,3.044243467929599e-35,negative
479,unit unit glad solv prob experi remain fli unit,negative,1.6629006371930712e-21,1.1205982798955129e-21,4.117507500148685e-23,positive
480,american americanair boss,positive,4.1781927647888665e-05,7.389500694118219e-05,5.4461284834900335e-05,negative
481,southwest southwestair easili get atlanta show need ticket help,neutral,7.457586136977326e-26,3.1755542616054117e-26,3.390875151379026e-24,neutral
482,unit unit like thank recogn terri dull go way get back raleigh flight,positive,1.6241959823246925e-32,8.764283265856523e-33,4.6390341549082596e-33,positive
483,unit unit loyal premier platinum member lack communic realli bad also dont see taken yet,negative,1.9445287347260777e-49,3.366165412166122e-47,6.249432708941768e-50,negative
484,southwest southwestair pleas question,neutral,8.112490476447161e-11,1.2845726011612688e-11,5.71950692128419e-10,neutral
485,airway usairway way could hold flight clt husband stuck secur check line flight schedul,neutral,2.6982066336296194e-42,1.348038473550791e-38,1.9345772176299567e-40,negative
486,delta jetblu read nice glass wine right dig heel next novel mayb travel need,neutral,1.423542884620199e-37,6.829170256649068e-39,2.3020774652887292e-37,neutral
487,airway usairway pleas pleas pleas let plane back gate get miss connect due clt close,neutral,1.6441002445720358e-43,1.6524632980378246e-40,8.546059453332579e-43,negative
488,american americanair idea flight,negative,5.6832912787300245e-11,6.518395373230448e-10,7.470147257917834e-10,neutral
489,american americanair flight tomorrow cancel flightl new one book seat taken care tweet commend servic thank,positive,5.616102559765748e-41,1.5048311802828078e-39,8.533894392880341e-42,negative
490,delta jetblu haha know time lane open logan,positive,2.5992326747925187e-16,4.626871225070391e-18,1.625603324815687e-16,positive
491,delta jetblu tri tire get grumpi,negative,1.1701698668894748e-13,8.126951882017694e-14,8.658595487039112e-14,positive
492,american americanair record locat,neutral,3.739007420217121e-13,1.1377562833274964e-11,4.828795900399375e-12,negative
493,southwest southwestair glad final resolv bad get free voucher mine friend travel next time,positive,1.5324188028205126e-40,3.258117224597113e-42,8.243728699410706e-42,positive
494,virgin america virginamerica nervous flight lax get cancel flightl tomorrow sent help,neutral,2.4092088214494838e-33,4.288683189141405e-33,7.392357327347924e-33,neutral
495,unit unit took hour half though,negative,1.8274657247480708e-17,8.506263110368689e-16,1.0357769887359639e-17,negative
496,american americanair thank contact american email address written unmonitor account,neutral,2.4771169074222736e-26,3.1608638216321676e-26,4.8535526642242443e-26,neutral
497,delta jetblu ive tri phone laptop,negative,2.3416510583716383e-18,6.642217094813935e-18,1.7560529743379334e-18,negative
498,airway usairway cancel flight flight told call rebook hold minut still wait,negative,1.0308167832753758e-34,1.577307956049574e-28,6.69600043494164e-33,negative
499,southwest southwestair offici worst custom servic airlin ever dealt southwestairlin poor,negative,1.4489905345703693e-30,4.088313112314063e-29,1.0329128117957132e-32,negative
500,american americanair flight attend announc transport wait flight think make,neutral,7.131806395738297e-28,1.312004542562166e-26,1.1047030913893167e-28,negative
501,unit unit thank repli contact custom care get clarif issu,positive,5.317686392397705e-27,3.3524998149978316e-27,3.0824987864010124e-28,positive
502,southwest southwestair land earli morn bwi_airport snowfal,neutral,2.7656215243062263e-18,2.528498226076356e-19,1.2842614386276423e-17,neutral
503,unit unit bwood prefer everyon hear complaint amount airlin,negative,3.252058054501987e-24,9.76623426357265e-25,8.724505687835955e-26,positive
504,delta jetblu thank liveri cultur crewmemb embodi daili thanksdav,positive,1.3695110735325036e-17,6.804222389809398e-20,8.153103095140406e-18,positive
505,american americanair right two hour late flight seem due poor communic sound like annoy plane staff,negative,3.577677157292281e-50,8.203646836424453e-45,2.6045079777406588e-51,negative
506,unit unit sincer thank pilot flight brave snow get home amongst mani cancel flightlat,positive,3.2964082173319775e-32,8.206667895505584e-33,9.347817408944797e-33,positive
507,virgin america virginamerica guy flight cmh,neutral,5.979030037551945e-16,1.1132363851169639e-17,4.5698733652834106e-17,positive
508,southwest southwestair horribl custom servic empti seat earli flight wantcharg doubl get home earli instead usual late flight,negative,4.774929558300336e-50,6.547124747256398e-48,3.3928306060650307e-49,negative
509,unit unit okc ticket agent roger mclarren less help intl group travel problem find supervisor help,negative,1.9253709529996229e-41,3.705042463539009e-41,3.010880003568853e-41,negative
510,delta jetblu thank answer question,positive,1.0857826168734071e-13,1.2459438425392981e-14,1.8183050522782136e-13,neutral
511,unit unit nut,neutral,6.16778766910255e-08,1.299376547710394e-07,5.169262264721366e-08,negative
512,southwest southwestair thank great custom servic today,positive,9.967382646610866e-16,1.752606048487623e-18,1.4085760110296401e-18,positive
513,airway usairway add tsa pre number exist reserv,neutral,1.547590644168625e-27,1.353014493328945e-25,5.05931275543809e-24,neutral
514,unit unit got right safeti demonstr corpor funni reserv corni,positive,6.100412350514071e-24,1.5728777287648588e-23,2.6449027769439534e-23,neutral
515,southwest never got strip fast stoke special imaginedragon show tonight thx southwestair,positive,6.539340940474839e-33,3.019453278806214e-36,6.246551064561646e-35,positive
516,airway usairway hold hour tri reschedul cancel flightl flight anyon pleas help,negative,3.4268724065713058e-34,7.03011795751392e-30,5.9771567703282934e-34,negative
517,american americanair approach three hour sit plane ground dfw americanairlin flight oscar perform,negative,1.365370280392232e-42,4.370725684394218e-40,2.5958928015725233e-41,negative
518,unit unit done,neutral,3.70067260146153e-07,3.465004127227718e-07,6.203114717665639e-07,neutral
519,unit unit awesom book next christma vacatinn decemb way want devalu mileag plus,positive,3.798604175356602e-34,1.6229364452717398e-33,1.338203180559245e-32,neutral
520,unit unit interview yesterday flight attend last person recruit said lost file came back interview,negative,1.383804504056551e-35,8.991852054947142e-33,2.4660878335113357e-36,negative
521,airway usairway thank gate agent state colleg abl get earlier flight figur earlier connect,positive,4.988274011203897e-40,7.891690380416561e-40,8.9404109879248e-42,negative
522,delta jetblu also parti sister mom three separ reserv tsa let togeth alon,neutral,2.8574732560206834e-45,2.66419270257009e-43,7.397501159143069e-43,neutral
523,delta jetblu take info begin cut call back medic practic frequent flyer,negative,9.676100715869418e-36,1.5919129416664719e-34,7.624002775373666e-35,negative
524,american americanair unit deplan hare gate send custom servic rep discuss situat god know,negative,4.6927636067866685e-42,5.136050909387673e-42,1.0496017717803514e-43,negative
525,unit unit hear guitar damag decemb use guitar earn live get act togeth,negative,5.96371718574156e-44,5.5795112325134516e-43,2.4745488108052408e-42,neutral
526,virgin america virginamerica call week ago ad flight elev still shown help,negative,1.3036844271912786e-35,6.955754877264154e-36,1.0861131059464347e-35,positive
527,delta jetblu worst postpon trip accommod guest like southwestair neveragain,negative,1.4329476966800966e-27,5.582412664031969e-27,1.4820716184269061e-27,negative
528,virgin america virginamerica interest fli cancel flight next four flight plan neverflyvirginforbusi,negative,1.9933814005809986e-30,5.6240711969381e-31,7.849882473227858e-31,positive
529,unit unit request ticket chang twitter,neutral,3.101470401429584e-17,3.4612612216759243e-16,1.0875658381727619e-15,neutral
530,southwest southwestair awesom flight dalla virgin america refus child peanut allergi guy thank ___,positive,8.742664732646882e-40,8.938782984221353e-44,1.4406849888045942e-41,positive
531,unit unit flight two delay cancel flightl flight norfolk book rent car,negative,3.7423285579439108e-31,5.0060162953345654e-27,9.436887174469199e-29,negative
532,southwest southwestair use point book rental car,neutral,3.531916618875608e-22,2.7565614977471063e-21,3.6464615670146e-20,neutral
533,southwest southwestair best,positive,3.573214034438455e-07,9.11243688948775e-09,4.930289245457638e-08,positive
534,southwest southwestair continu amaz amaz custom servic thank swa,positive,4.587260951796318e-23,5.917709091012492e-28,3.242363330952368e-27,positive
535,airway usairway problem flight gainesvill airway clt miss connect flight iad get anoth flight,negative,1.3873461866441611e-34,8.091176878753876e-32,1.806922337708415e-33,negative
536,american americanair number even let wait next custom rep frustrat talk human,negative,3.8894024041165563e-38,6.049939066890986e-33,2.949731475112443e-37,negative
537,delta jetblu thank,positive,4.044396960740768e-06,4.413904018026765e-08,4.88277248424207e-07,positive
538,delta jetblu valentinesday email point amp clever thank amaz jetblu loveisintheair,positive,8.15338350107369e-20,6.274207878953207e-23,6.129205659189468e-21,positive
539,delta jetblu worri delay minor dealt nice captain flight way,positive,4.6292599424408356e-26,6.073880619001785e-27,1.8329620880868983e-26,positive
540,unit unit sent thank,positive,1.1260836440609138e-08,1.6027552130348474e-09,2.7841977546333534e-09,positive
541,southwest southwestair look like brood sky ont even,neutral,4.1660423815153593e-13,1.8122542794990046e-13,2.378057026972662e-13,positive
542,delta jetblu mint seat awesom emaleesugano best busi class,positive,2.364752895192863e-22,2.3280919773481286e-25,3.2029711847771048e-24,positive
543,delta jetblu jetbluebo luggag flt dca bos pax wait min bag show carousel sign updat,negative,3.715567945840916e-45,6.054504820858512e-43,3.5263511881508276e-44,negative
544,unit unit process purchas ticket price chang unbeliev ripoff pricediscrimin,negative,5.550926679236152e-25,2.960711018851499e-24,2.3142899298259587e-23,neutral
545,southwest southwestair parent flight frm stlatl cancel flight nite next one,negative,7.771447582790199e-29,1.5072593522325903e-27,2.8448399233598363e-27,neutral
546,unit unit frontier,neutral,3.083893834551275e-08,4.331255159034647e-08,1.0338524529442731e-07,neutral
547,airway usairway yes thank took forev,negative,5.475892016088922e-16,1.9684134267084964e-17,8.741692150106614e-18,positive
548,american americanair pilot admit delay entir incompet poor equip check,negative,3.901407055609569e-34,1.5458024283542784e-30,4.200551699263534e-33,negative
549,virgin america virginamerica getaway deal may one way lot cool citi cheapflight farecompar,neutral,2.2942269397859238e-41,2.0244558009952127e-43,2.30334331834731e-43,positive
550,american americanair flight way,neutral,7.388278662349031e-10,2.8680939642213976e-09,2.3477605667741768e-09,negative
551,american americanair needknow ill abl reach ind today rather stay maf fli dfw amp find travel,negative,2.8204387309307914e-42,1.1913304054860126e-42,1.122866324286227e-43,positive
552,american americanair thank flight today great crew,positive,7.799886651973338e-16,3.2074448404218767e-18,4.818304648041441e-18,positive
553,airway usairway final spoke person despit mind boggl wait time rep pleasant help kudo,positive,6.957090689136319e-39,6.860586250298847e-41,3.0869095744769296e-43,positive
554,delta jetblu amaz thank,positive,1.1477808042968787e-08,3.5353656532052587e-12,1.3793142610853307e-10,positive
555,unit unit move americanair unit talk servic,negative,2.2860090471970367e-17,5.958579153401533e-16,3.8772097624400084e-17,negative
556,american americanair curious thank respons alway good bad better competit,positive,8.543607702473671e-21,2.8782411715520996e-22,3.4110482621070104e-23,positive
557,unit unit unfortun still tarmac flyohar definit miss ride flypdx gonnabealongnight,neutral,7.072174371006313e-29,9.7052334678085e-28,4.496722130711367e-29,negative
558,american americanair yet wait connect agent,neutral,3.426290152241127e-17,6.204275508364926e-16,1.3486534561746156e-17,negative
559,american americanair right cue delays_,negative,6.32400759025843e-08,1.006179509811852e-07,4.6153631216017233e-08,negative
560,airway usairway got email ask checkin tmrw flight meant book someon pleas help wallstslumlord pkg,neutral,1.0497151850608753e-39,7.82238766885036e-37,9.413365289014204e-37,neutral
561,virgin america virginamerica ladygaga carrieunderwood entertain,neutral,3.3477211856393865e-19,3.855364104301173e-21,2.658620574502307e-19,positive
562,virgin america virginamerica put great deal pdx las las pdx show love,positive,1.661513894095179e-37,3.2982162690855013e-41,6.103022214231882e-38,positive
563,delta cool thx coupl pgashow flight til mosaic wait easier chang flight weather bad jetblu,positive,1.2611720168721372e-41,1.402587989388072e-41,9.541101841273519e-43,negative
564,american americanair aftr hrs bng held hstg mia refsd get med bag bag fnd refsd fix tkts cnceld said fli,negative,2.0926097819795913e-33,7.995578262774972e-30,8.970669730630594e-34,negative
565,unit unit book award tix thaiairway see conf unit flight book problem get get thai,neutral,2.010978581715272e-35,5.670088843502348e-33,1.6574947766724745e-32,neutral
566,american americanair merg mile usairway complet month,neutral,3.190572669200983e-21,2.486153416977723e-20,9.687664051617494e-22,negative
567,delta jetblu leopolds_ friend pictur phillip heller jfk ifc said delici,positive,1.1708255291858191e-17,1.3608444779618794e-18,2.508647106197048e-18,positive
568,virgin america virginamerica never rec cancel flightlat notic left option fli drive red eye mon kid,negative,1.9192715857867172e-49,2.787752779228351e-48,2.0793853474166695e-48,negative
569,unit unit play along home,neutral,6.418093308119198e-11,5.897584117227794e-11,1.2655444339242516e-10,neutral
570,unit unit went custom servic kiosk abl help still thank follow,positive,1.8840971941064478e-24,9.070600714028773e-26,1.1790557857983873e-26,positive
571,american americanair runway dfw fli late flightr today thank,neutral,1.1314966212716997e-25,6.949788945342404e-25,2.411341320882145e-25,negative
572,american americanair go pathet onlin work phone want give seat assign,negative,4.856694351143841e-34,9.124492932178666e-32,7.885755399960315e-33,negative
573,delta jetblu hour polici call said report soon enough would chang notic sooner,negative,1.2988514800094017e-41,1.2606959868561669e-39,2.5428910234554298e-40,negative
574,southwest southwestair imaginedragon beatsmus well time tweet board listen way home,positive,1.96868167384016e-28,2.8406884038391014e-30,3.731533442192514e-29,positive
575,southwest southwestair three cheer denver staff know get keep smile,positive,7.183027728876262e-30,3.1093967465923016e-31,1.0903831486926179e-31,positive
576,airway usairway despit tailwind_ still late flight,negative,1.314322169566075e-16,8.21636854451984e-16,6.89969273276272e-17,negative
577,airway usairway chang without penalti call custom servic,neutral,6.5463084248332825e-24,1.5846505745868604e-21,1.0731875541838371e-23,negative
578,southwest southwestair ugh kick miss destinationdragon need imaginedragon back life,neutral,2.3599622726325078e-27,4.9495176804025225e-28,3.941180385045093e-26,neutral
579,southwest southwestair hold custom servic hour help,negative,3.3814831332568322e-18,8.279855642604439e-17,5.313415426221276e-19,negative
580,airway usairway provid info check stroller car seat cost restrict need bring seat stroller,neutral,1.8908463789444416e-42,2.545265723786952e-39,1.1494539059990691e-38,neutral
581,southwest southwestair flight vega come soon havent receiv drink ticket late flight help,neutral,1.4676105138229673e-37,1.0245162174196595e-37,4.2327934511800605e-36,neutral
582,american americanair pleas help flight appear cancel flight lauderdal dalla lax anyth leav mia fll thxu,neutral,4.290163736998259e-45,2.5544079068849e-43,8.650908888701086e-43,neutral
583,delta jetblu thank offer servic guy,positive,2.2689374710749752e-14,2.130628837662316e-16,2.39701230997128e-16,positive
584,airway usairway seem like team fail scan bag lax recycl bagtag number help usairwaysfail,negative,4.235545815354145e-34,6.410493296990411e-31,2.1972947850306857e-33,negative
585,unit unit bagag take cabin dont need check correct,neutral,6.0555563773485274e-24,1.9892277157908505e-22,4.302742531436738e-22,neutral
586,unit unit,positive,0.00032599841725041524,0.0005407572066054757,0.000548975652513409,neutral
587,unit unit sfo clearvis tvu unit termin sfo airport,neutral,3.204418188811867e-18,1.58163253668392e-17,3.9979821395729406e-18,negative
588,southwest southwestair follow await,neutral,4.056245238223579e-11,1.0218191145601e-12,2.7854741499760663e-11,positive
589,southwest southwestair favorit airlin never issu plus crew entertain,positive,5.6013985488822186e-27,1.917827423211425e-27,5.484767030635238e-28,positive
590,southwest southwestair suppos say boo book booo,neutral,4.3853077700161676e-15,5.89274939914515e-14,2.350079885478866e-13,neutral
591,unit unit yes lhrt loung fantast one could remot similar,positive,5.728461240515114e-27,2.781288625767142e-28,1.8159839374026667e-27,positive
592,airway usairway peopl line wait minut custom servic repres,negative,5.944996772150178e-27,3.525676533143908e-24,1.414748188189616e-27,negative
593,airway usairway still get real person phone book flight readi jetblu sinc care usairwayssuck,negative,5.567394361306087e-41,9.939466407313268e-39,3.598515422639732e-41,negative
594,unit unit frustrat well way relat flightd anyway impress made,positive,2.109509660196629e-30,1.0533816300001455e-30,2.6870894957532065e-32,positive
595,unit unit holi high speed internet batman speed unit club iad insan fast thank,positive,9.768721666069951e-41,6.013631366675851e-42,9.509691079924545e-41,positive
596,airway usairway yes pay pocket help loos first class ticket coach want resolut comp,negative,8.977101818283069e-41,1.3212061122747464e-39,6.508845303708807e-40,negative
597,delta jetblu alreadi ticket total beach right flightland sunscreen feelsgood,neutral,2.658198155374105e-21,6.353047050843261e-22,5.74012473451867e-21,neutral
598,airway usairway least get respons tri gate person sent wrong way cust srvc cust srvc found,negative,1.7543741192805693e-43,4.922141081063845e-41,3.8729481640296794e-43,negative
599,delta jetblu guy realli bad jetblu fail someon better call wife back get handl wait hold,negative,7.34186504821686e-46,2.955604995390449e-43,2.286994939843491e-47,negative
600,airway usairway americanair incompet,negative,3.593249503835776e-11,3.524856485462686e-10,6.004039608511283e-11,negative
